eligibility_datetime_utc,item_id,eligibility,message
2025-06-04 08:50:07.115,29,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,270,True,
2025-06-04 08:50:07.115,31,True,
2025-06-04 08:50:07.115,26,True,
2025-06-04 08:50:07.115,25,True,
2025-06-04 08:50:07.115,34,True,
2025-06-04 08:50:07.115,28,True,
2025-06-04 08:50:07.115,32,True,
2025-06-04 08:50:07.115,33,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,27,True,
2025-06-04 08:50:07.115,23,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,24,True,
2025-06-04 08:50:07.115,35,True,
2025-06-04 08:50:07.115,30,True,
2025-06-04 08:50:07.115,36,True,
2025-06-04 08:50:07.115,19,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,15,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,16,True,
2025-06-04 08:50:07.115,18,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,17,True,
2025-06-04 08:50:07.115,21,True,
2025-06-04 08:50:07.115,20,True,
2025-06-04 08:50:07.115,22,True,
2025-06-04 08:50:07.115,13,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,38,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,5,True,
2025-06-04 08:50:07.115,7,True,
2025-06-04 08:50:07.115,42,True,
2025-06-04 08:50:07.115,14,True,
2025-06-04 08:50:07.115,10,True,
2025-06-04 08:50:07.115,6,True,
2025-06-04 08:50:07.115,271,True,
2025-06-04 08:50:07.115,4,True,
2025-06-04 08:50:07.115,40,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,8,True,
2025-06-04 08:50:07.115,39,True,
