eligibility_datetime_utc,item_id,eligibility,message
2025-06-04 08:50:07.115,29,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,270,1,
2025-06-04 08:50:07.115,31,1,
2025-06-04 08:50:07.115,26,1,
2025-06-04 08:50:07.115,25,1,
2025-06-04 08:50:07.115,34,1,
2025-06-04 08:50:07.115,28,1,
2025-06-04 08:50:07.115,32,1,
2025-06-04 08:50:07.115,33,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,27,1,
2025-06-04 08:50:07.115,23,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,24,1,
2025-06-04 08:50:07.115,35,1,
2025-06-04 08:50:07.115,30,1,
2025-06-04 08:50:07.115,36,1,
2025-06-04 08:50:07.115,19,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,15,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,16,1,
2025-06-04 08:50:07.115,18,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,17,1,
2025-06-04 08:50:07.115,21,1,
2025-06-04 08:50:07.115,20,1,
2025-06-04 08:50:07.115,22,1,
2025-06-04 08:50:07.115,13,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,38,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,5,1,
2025-06-04 08:50:07.115,7,1,
2025-06-04 08:50:07.115,42,1,
2025-06-04 08:50:07.115,14,1,
2025-06-04 08:50:07.115,10,1,
2025-06-04 08:50:07.115,6,1,
2025-06-04 08:50:07.115,271,1,
2025-06-04 08:50:07.115,4,1,
2025-06-04 08:50:07.115,40,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,8,1,
2025-06-04 08:50:07.115,39,1,
2025-06-04 08:50:07.115,9,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,3,1,
2025-06-04 08:50:07.115,43,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,11,1,
2025-06-04 08:50:07.115,2,1,
2025-06-04 08:50:07.115,41,1,
2025-06-04 08:50:07.115,44,1,
2025-06-04 08:50:07.115,1,1,
2025-06-04 08:50:07.115,12,0,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07.115,0,1,
2025-06-04 08:50:07.115,37,1,
2025-06-04 08:50:07.115,49,1,
2025-06-04 08:50:07.115,52,1,
2025-06-04 08:50:07.115,50,1,
2025-06-04 08:50:07.115,46,1,
2025-06-04 08:50:07.115,48,1,
2025-06-04 08:50:07.115,45,1,
2025-06-04 08:50:07.115,47,1,
2025-06-04 08:50:07.115,51,1,
2025-06-04 08:50:07.115,272,1,
2025-06-04 08:50:07.115,273,1,
2025-06-04 08:50:07.115,274,1,
2025-06-04 08:50:07.115,275,1,
2025-06-04 08:50:07.115,56,1,
2025-06-04 08:50:07.115,55,1,
2025-06-04 08:50:07.115,53,1,
2025-06-04 08:50:07.115,54,1,
